Time (sec.), Cycles, "speed_target", "speed_actual", "speed_error"
0.000000000, 0, 0.000000000, 0.000000000, 0.000000000
0.000000000, 0, 0.000000000, 0.000000000, 0.000000000
0.000000000, 0, 0.000000000, 0.000000000, 0.000000000
1.049741530, 176356577, 90.000000000, 0.000000000, 0.000000000
1.049741565, 176356583, 90.000000000, 0.000000000, 0.000000000
1.049791554, 176364981, 90.000000000, 0.000000000, -90.000000000
1.099742440, 184756730, 90.000000000, 0.000000000, -90.000000000
1.099742476, 184756736, 90.000000000, 7.272727013, -90.000000000
1.099791554, 184764981, 90.000000000, 7.272727013, -82.727272034
1.149742440, 193156730, 90.000000000, 7.272727013, -82.727272034
1.149742476, 193156736, 90.000000000, 22.690908432, -82.727272034
1.149791554, 193164981, 90.000000000, 22.690908432, -67.309089661
1.199742714, 201556776, 90.000000000, 22.690908432, -67.309089661
1.199742750, 201556782, 90.000000000, 39.435634613, -67.309089661
1.199791554, 201564981, 90.000000000, 39.435634613, -50.564365387
1.249742494, 209956739, 90.000000000, 39.435634613, -50.564365387
1.249742530, 209956745, 90.000000000, 53.961074829, -50.564365387
1.249791554, 209964981, 90.000000000, 53.961074829, -36.038925171
1.299742542, 218356747, 90.000000000, 53.961074829, -36.038925171
1.299742577, 218356753, 90.000000000, 64.423393250, -36.038925171
1.299791554, 218364981, 90.000000000, 64.423393250, -25.576606750
1.349742464, 226756734, 90.000000000, 64.423393250, -25.576606750
1.349742500, 226756740, 90.000000000, 72.772888184, -25.576606750
1.349791554, 226764981, 90.000000000, 72.772888184, -17.227111816
1.399742589, 235156755, 90.000000000, 72.772888184, -17.227111816
1.399742625, 235156761, 90.000000000, 78.569168091, -17.227111816
1.399791554, 235164981, 90.000000000, 78.569168091, -11.430831909
1.449742595, 243556756, 90.000000000, 78.569168091, -11.430831909
1.449742631, 243556762, 90.000000000, 81.583236694, -11.430831909
1.449791554, 243564981, 90.000000000, 81.583236694, -8.416763306
1.499742589, 251956755, 90.000000000, 81.583236694, -8.416763306
1.499742625, 251956761, 90.000000000, 85.332374573, -8.416763306
1.499791554, 251964981, 90.000000000, 85.332374573, -4.667625427
1.549742595, 260356756, 90.000000000, 85.332374573, -4.667625427
1.549742631, 260356762, 90.000000000, 87.281921387, -4.667625427
1.549791554, 260364981, 90.000000000, 87.281921387, -2.718078613
1.599742506, 268756741, 90.000000000, 87.281921387, -2.718078613
1.599742542, 268756747, 90.000000000, 89.022956848, -2.718078613
1.599791554, 268764981, 90.000000000, 89.022956848, -0.977043152
1.649742440, 277156730, 90.000000000, 89.022956848, -0.977043152
1.649742476, 277156736, 90.000000000, 89.928298950, -0.977043152
1.649791554, 277164981, 90.000000000, 89.928298950, -0.071701050
1.699742601, 285556757, 90.000000000, 89.928298950, -0.071701050
1.699742637, 285556763, 90.000000000, 89.671806335, -0.071701050
1.699791554, 285564981, 90.000000000, 89.671806335, -0.328193665
1.749742548, 293956748, 90.000000000, 89.671806335, -0.328193665
1.749742583, 293956754, 90.000000000, 90.265701294, -0.328193665
1.749791554, 293964981, 90.000000000, 90.265701294, 0.265701294
1.799742565, 302356751, 90.000000000, 90.265701294, 0.265701294
1.799742601, 302356757, 90.000000000, 90.574523926, 0.265701294
1.799791554, 302364981, 90.000000000, 90.574523926, 0.574523926
1.849742625, 310756761, 90.000000000, 90.574523926, 0.574523926
1.849742661, 310756767, 90.000000000, 90.735107422, 0.574523926
1.849791554, 310764981, 90.000000000, 90.735107422, 0.735107422
1.899742625, 319156761, 90.000000000, 90.735107422, 0.735107422
1.899742661, 319156767, 90.000000000, 90.818618774, 0.735107422
1.899791554, 319164981, 90.000000000, 90.818618774, 0.818618774
1.949742607, 327556758, 90.000000000, 90.818618774, 0.818618774
1.949742643, 327556764, 90.000000000, 90.862045288, 0.818618774
1.949791554, 327564981, 90.000000000, 90.862045288, 0.862045288
1.999742577, 335956753, 90.000000000, 90.862045288, 0.862045288
1.999742613, 335956759, 90.000000000, 90.884620667, 0.862045288
1.999791554, 335964981, 90.000000000, 90.884620667, 0.884620667
2.049742554, 344356749, 90.000000000, 90.884620667, 0.884620667
2.049742589, 344356755, 90.000000000, 90.896362305, 0.884620667
2.049791554, 344364981, 90.000000000, 90.896362305, 0.896362305
2.099742571, 352756752, 90.000000000, 90.896362305, 0.896362305
2.099742607, 352756758, 90.000000000, 90.175201416, 0.896362305
2.099791554, 352764981, 90.000000000, 90.175201416, 0.175201416
2.149742607, 361156758, 90.000000000, 90.175201416, 0.175201416
2.149742643, 361156764, 90.000000000, 90.527465820, 0.175201416
2.149791554, 361164981, 90.000000000, 90.527465820, 0.527465820
2.199742607, 369556758, 90.000000000, 90.527465820, 0.527465820
2.199742643, 369556764, 90.000000000, 90.710639954, 0.527465820
2.199791554, 369564981, 90.000000000, 90.710639954, 0.710639954
2.249742518, 377956743, 90.000000000, 90.710639954, 0.710639954
2.249742554, 377956749, 90.000000000, 90.805892944, 0.710639954
2.249791554, 377964981, 90.000000000, 90.805892944, 0.805892944
2.299742595, 386356756, 90.000000000, 90.805892944, 0.805892944
2.299742631, 386356762, 90.000000000, 90.855422974, 0.805892944
2.299791554, 386364981, 90.000000000, 90.855422974, 0.855422974
2.349742583, 394756754, 90.000000000, 90.855422974, 0.855422974
2.349742619, 394756760, 90.000000000, 90.881179810, 0.855422974
2.349791554, 394764981, 90.000000000, 90.881179810, 0.881179810
2.399742631, 403156762, 90.000000000, 90.881179810, 0.881179810
2.399742667, 403156768, 90.000000000, 90.167304993, 0.881179810
2.399791554, 403164981, 90.000000000, 90.167304993, 0.167304993
2.449742643, 411556764, 90.000000000, 90.167304993, 0.167304993
2.449742679, 411556770, 90.000000000, 90.523361206, 0.167304993
2.449791554, 411564981, 90.000000000, 90.523361206, 0.523361206
2.499742530, 419956745, 90.000000000, 90.523361206, 0.523361206
2.499742565, 419956751, 90.000000000, 90.708511353, 0.523361206
2.499791554, 419964981, 90.000000000, 90.708511353, 0.708511353
2.549742655, 428356766, 90.000000000, 90.708511353, 0.708511353
2.549742690, 428356772, 90.000000000, 90.077514648, 0.708511353
2.549791554, 428364981, 90.000000000, 90.077514648, 0.077514648
2.599742548, 436756748, 90.000000000, 90.077514648, 0.077514648
2.599742583, 436756754, 90.000000000, 89.749397278, 0.077514648
2.599791554, 436764981, 90.000000000, 89.749397278, -0.250602722
2.649742518, 445156743, 90.000000000, 89.749397278, -0.250602722
2.649742554, 445156749, 90.000000000, 90.306045532, -0.250602722
2.649791554, 445164981, 90.000000000, 90.306045532, 0.306045532
2.699742542, 453556747, 90.000000000, 90.306045532, 0.306045532
2.699742577, 453556753, 90.000000000, 90.595504761, 0.306045532
2.699791554, 453564981, 90.000000000, 90.595504761, 0.595504761
2.749742649, 461956765, 90.000000000, 90.595504761, 0.595504761
2.749742685, 461956771, 90.000000000, 90.018753052, 0.595504761
2.749791554, 461964981, 90.000000000, 90.018753052, 0.018753052
2.799742679, 470356770, 90.000000000, 90.018753052, 0.018753052
