Time (sec.)	Cycles	"speed_target"	"speed_actual"	"speed_error"
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
0.000000000	0	0.000000000	0.000000000	0.000000000
1.048645827	176172499	3600.000000000	0.000000000	0.000000000
1.048645827	176172499	3600.000000000	0.000000000	0.000000000
1.048690476	176180000	3600.000000000	0.000000000	-100.000000000
1.098646262	184572572	3600.000000000	0.000000000	-100.000000000
1.098646262	184572572	3600.000000000	15.000000000	-100.000000000
1.098690476	184580000	3600.000000000	15.000000000	-100.000000000
1.148646107	192972546	3600.000000000	15.000000000	-100.000000000
1.148646107	192972546	3600.000000000	52.000000000	-100.000000000
1.148690476	192980000	3600.000000000	52.000000000	-100.000000000
1.198646101	201372545	3600.000000000	52.000000000	-100.000000000
1.198646101	201372545	3600.000000000	105.000000000	-100.000000000
1.198690476	201380000	3600.000000000	105.000000000	-100.000000000
1.248646506	209772613	3600.000000000	105.000000000	-100.000000000
1.248646506	209772613	3600.000000000	176.000000000	-100.000000000
1.248690476	209780000	3600.000000000	176.000000000	-74.744651794
1.298646720	218172649	3600.000000000	176.000000000	-74.744651794
1.298646720	218172649	3600.000000000	262.000000000	-74.744651794
1.298690476	218180000	3600.000000000	262.000000000	-74.744651794
1.348646304	226572579	3600.000000000	262.000000000	-74.744651794
1.348646304	226572579	3600.000000000	360.000000000	-74.744651794
1.348690476	226580000	3600.000000000	360.000000000	-61.740005493
1.398646333	234972584	3600.000000000	360.000000000	-61.740005493
1.398646333	234972584	3600.000000000	469.000000000	-61.740005493
1.398690476	234980000	3600.000000000	469.000000000	-48.566127777
1.448646732	243372651	3600.000000000	469.000000000	-48.566127777
1.448646732	243372651	3600.000000000	587.000000000	-48.566127777
1.448690476	243380000	3600.000000000	587.000000000	-43.347347260
1.498646292	251772577	3600.000000000	587.000000000	-43.347347260
1.498646292	251772577	3600.000000000	712.000000000	-43.347347260
1.498690476	251780000	3600.000000000	712.000000000	-40.395072937
1.548646161	260172555	3600.000000000	712.000000000	-40.395072937
1.548646161	260172555	3600.000000000	844.000000000	-40.395072937
1.548690476	260180000	3600.000000000	844.000000000	-35.938156128
1.598646077	268572541	3600.000000000	844.000000000	-35.938156128
1.598646077	268572541	3600.000000000	984.000000000	-35.938156128
1.598690476	268580000	3600.000000000	984.000000000	-35.938156128
1.648646304	276972579	3600.000000000	984.000000000	-35.938156128
1.648646304	276972579	3600.000000000	1131.000000000	-35.938156128
1.648690476	276980000	3600.000000000	1131.000000000	-32.906021118
1.698646762	285372656	3600.000000000	1131.000000000	-32.906021118
1.698646762	285372656	3600.000000000	1285.000000000	-32.906021118
1.698690476	285380000	3600.000000000	1285.000000000	-28.401199341
1.748646315	293772581	3600.000000000	1285.000000000	-28.401199341
1.748646315	293772581	3600.000000000	1445.000000000	-28.401199341
1.748690476	293780000	3600.000000000	1445.000000000	-17.235282898
1.798646375	302172591	3600.000000000	1445.000000000	-17.235282898
1.798646375	302172591	3600.000000000	1608.000000000	-17.235282898
1.798690476	302180000	3600.000000000	1608.000000000	21.662422180
1.848646750	310572654	3600.000000000	1608.000000000	21.662422180
1.848646750	310572654	3600.000000000	1767.000000000	21.662422180
1.848690476	310580000	3600.000000000	1767.000000000	46.689613342
1.898646768	318972657	3600.000000000	1767.000000000	46.689613342
1.898646768	318972657	3600.000000000	1827.000000000	46.689613342
1.898690476	318980000	3600.000000000	1827.000000000	-42.310386658
1.948646083	327372542	3600.000000000	1827.000000000	-42.310386658
1.948646083	327372542	3600.000000000	1875.000000000	-42.310386658
1.948690476	327380000	3600.000000000	1875.000000000	84.657546997
1.998646232	335772567	3600.000000000	1875.000000000	84.657546997
1.998646232	335772567	3600.000000000	1978.000000000	84.657546997
1.998690476	335780000	3600.000000000	1978.000000000	175.161010742
2.048646583	344172626	3600.000000000	1978.000000000	175.161010742
2.048646583	344172626	3600.000000000	2065.000000000	175.161010742
2.048690476	344180000	3600.000000000	2065.000000000	69.762557983
2.098646798	352572662	3600.000000000	2065.000000000	69.762557983
2.098646798	352572662	3600.000000000	2137.000000000	69.762557983
2.098690476	352580000	3600.000000000	2137.000000000	2.047676086
2.148646089	360972543	3600.000000000	2137.000000000	2.047676086
2.148646089	360972543	3600.000000000	2216.000000000	2.047676086
2.148690476	360980000	3600.000000000	2216.000000000	-23.004951477
2.198646095	369372544	3600.000000000	2216.000000000	-23.004951477
2.198646095	369372544	3600.000000000	2308.000000000	-23.004951477
2.198690476	369380000	3600.000000000	2308.000000000	-32.307449341
2.248646768	377772657	3600.000000000	2308.000000000	-32.307449341
2.248646768	377772657	3600.000000000	2411.000000000	-32.307449341
2.248685476	377779160	3600.000000000	2411.000000000	-32.307449341
2.298646315	386172581	3600.000000000	2411.000000000	-32.307449341
2.298646315	386172581	3600.000000000	2523.000000000	-32.307449341
2.298690476	386180000	3600.000000000	2523.000000000	32.827350616
2.348646940	394572686	3600.000000000	2523.000000000	32.827350616
2.348646940	394572686	3600.000000000	2633.000000000	32.827350616
2.348690476	394580000	3600.000000000	2633.000000000	19.283859253
2.398646738	402972652	3600.000000000	2633.000000000	19.283859253
2.398646738	402972652	3600.000000000	2665.000000000	19.283859253
2.398690476	402980000	3600.000000000	2665.000000000	-16.456169128
2.448646083	411372542	3600.000000000	2665.000000000	-16.456169128
2.448646083	411372542	3600.000000000	2690.000000000	-16.456169128
2.448705476	411382520	3600.000000000	2690.000000000	31.599136353
2.498646720	419772649	3600.000000000	2690.000000000	31.599136353
2.498646720	419772649	3600.000000000	2760.000000000	31.599136353
2.498690476	419780000	3600.000000000	2760.000000000	4.572822571
2.548646262	428172572	3600.000000000	2760.000000000	4.572822571
2.548646262	428172572	3600.000000000	2840.000000000	4.572822571
2.548690476	428180000	3600.000000000	2840.000000000	38.572822571
2.598646542	436572619	3600.000000000	2840.000000000	38.572822571
2.598646542	436572619	3600.000000000	2922.000000000	38.572822571
2.598690476	436580000	3600.000000000	2922.000000000	74.942405701
2.648646631	444972634	3600.000000000	2922.000000000	74.942405701
2.648646631	444972634	3600.000000000	2994.000000000	74.942405701
2.648690476	444980000	3600.000000000	2994.000000000	30.662139893
2.698646690	453372644	3600.000000000	2994.000000000	30.662139893
2.698646690	453372644	3600.000000000	3013.000000000	30.662139893
2.698690476	453380000	3600.000000000	3013.000000000	-51.150726318
2.748646673	461772641	3600.000000000	3013.000000000	-51.150726318
2.748646673	461772641	3600.000000000	3037.000000000	-51.150726318
2.748690476	461780000	3600.000000000	3037.000000000	-17.147346497
2.798646333	470172584	3600.000000000	3037.000000000	-17.147346497
2.798646333	470172584	3600.000000000	3104.000000000	-17.147346497
2.798690476	470180000	3600.000000000	3104.000000000	30.189468384
2.848646488	478572610	3600.000000000	3104.000000000	30.189468384
2.848646488	478572610	3600.000000000	3175.000000000	30.189468384
2.848690476	478580000	3600.000000000	3175.000000000	51.189468384
2.898647161	486972723	3600.000000000	3175.000000000	51.189468384
